84863850,Geoinformatics,
84867100,Geomatics,
84865945,Geometric mechanics,
84865278,Geometrical acoustics,
84866868,Geotechnical engineering,
84866885,Geotechnics,
84867706,Geriatric dentistry,
84867709,Geriatric nephrology,
84867712,Geriatric neurology,
84867715,Geriatric oncology,
84867718,Geriatric psychiatry,
84867721,Geriatric rheumatology,
84867573,Geriatrics,
84867730,Gerontechnology,
84867724,Gerontological nursing,
84864790,Glycoinformatics,
84864898,Glycoproteomics,
84863960,Green chemistry,
84866927,Green engineering,
84869098,"Guidance, navigation, and control"," and control"""
84867739,Gynaecologic cytology,
84867736,Gynaecology,
84867742,Gynecologic pathology,
84865948,Hamiltonian mechanics,
84865583,Hamiltonian optics,
84866506,Health care analytics,
84868690,Health geography,
84868206,Health informatics,
84865865,Health physics,
84867106,Health systems engineering,
84866102,Heliciculture,
84866075,Helicopter dynamics,
84864937,Helium cryogenics,
84867757,Hematology,
84867672,Hepatology,
84867564,Herbalism,
84866494,Heterotrophic nutrition,
84864618,High energy nuclear physics,
84867130,Highway engineering,
84866153,Hirudiculture,
85170307,Histology,
84867940,Histopathology,
84865933,Hitting mechanics,
85170340,Holistic veterinary medicine,
84868283,Horology,
84866248,Horticulture,
84867916,Hospice and palliative medicine,
85170313,Hospital medicine,
84867370,Human factors and ergonomics,
85170199,Human germline engineering,
84867214,Human systems engineering,
85171106,Human-centered computing,
84868723,Human-computer interaction,
84866930,Hurricane engineering,
84868951,HVAC,
84866862,Hydraulic engineering,
84865127,Hydraulics,
84864371,Hydroinformatics,
84866105,Hydrology (agriculture),
84864386,Hydropedology,
84866251,Hydroponics,
84867826,Hyperbaric medicine,
84868209,Imaging informatics,
84865586,Imaging science,
84867775,Immunochemistry,
84867778,Immunodermatology,
84867781,Immunogenetics,
84867760,Immunohaematology,
84867784,Immunomics,
84867787,Immunopathology,
84864901,Immunoproteomics,
84866461,Industrial ecology,
84867103,Industrial engineering,
84868009,Industrial microbiology,
84866527,Infodemiology,
84868316,Informatics,
84867295,Information privacy,
84868322,Informetrics,
84866156,Inland saline aquaculture,
84866706,Instrumentation and control engineering,
84866709,Integrated computational materials engineering,
84866966,Integrated modular avionics,
84868310,Intelligent design,
84867805,Intensive care medicine,
85166889,Intensive care medicine,
84866260,Intensive farming,
84866440,Interferomics,
84867811,Internal medicine,
84867302,Internet privacy,
84864645,Interventional radiology,
84865880,Inverse kinematics,
84866290,Irrigation informatics,
